,order,header,state,foreign_born,us_born,foreign_median_wages,us_median_wages
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",AL,"76,301","1,550,669",46493,51904
1,1,"Earned $1-$9,999, or incurred a loss",AL,1.8%,2.0%,46493,51904
2,2,"Earned $10,000-$14,999",AL,3.9%,3.5%,46493,51904
3,3,"Earned $15,000-$24,999",AL,23.3%,14.5%,46493,51904
4,4,"Earned $25,000-$34,999",AL,18.9%,17.1%,46493,51904
5,5,"Earned $35,000-$49,999",AL,19.0%,20.5%,46493,51904
6,6,"Earned $50,000-$74,999",AL,16.8%,22.8%,46493,51904
7,7,"Earned $75,000 or more",AL,16.3%,19.8%,46493,51904
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",AK,"25,421","221,180",72217,78196
1,1,"Earned $1-$9,999, or incurred a loss",AK,2.0%,1.5%,72217,78196
2,2,"Earned $10,000-$14,999",AK,2.2%,1.8%,72217,78196
3,3,"Earned $15,000-$24,999",AK,16.1%,8.2%,72217,78196
4,4,"Earned $25,000-$34,999",AK,18.0%,12.2%,72217,78196
5,5,"Earned $35,000-$49,999",AK,20.7%,17.8%,72217,78196
6,6,"Earned $50,000-$74,999",AK,19.5%,25.5%,72217,78196
7,7,"Earned $75,000 or more",AK,21.4%,32.9%,72217,78196
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",AZ,"431,832","1,977,139",53291,63899
1,1,"Earned $1-$9,999, or incurred a loss",AZ,1.9%,1.9%,53291,63899
2,2,"Earned $10,000-$14,999",AZ,3.2%,2.3%,53291,63899
3,3,"Earned $15,000-$24,999",AZ,18.1%,10.8%,53291,63899
4,4,"Earned $25,000-$34,999",AZ,21.0%,15.9%,53291,63899
5,5,"Earned $35,000-$49,999",AZ,19.7%,21.9%,53291,63899
6,6,"Earned $50,000-$74,999",AZ,17.2%,22.5%,53291,63899
7,7,"Earned $75,000 or more",AZ,19.1%,24.6%,53291,63899
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",AR,"79,500","919,093",51567,48785
1,1,"Earned $1-$9,999, or incurred a loss",AR,1.5%,1.6%,51567,48785
2,2,"Earned $10,000-$14,999",AR,1.9%,3.6%,51567,48785
3,3,"Earned $15,000-$24,999",AR,20.3%,16.3%,51567,48785
4,4,"Earned $25,000-$34,999",AR,24.6%,19.0%,51567,48785
5,5,"Earned $35,000-$49,999",AR,24.6%,21.7%,51567,48785
6,6,"Earned $50,000-$74,999",AR,12.2%,21.0%,51567,48785
7,7,"Earned $75,000 or more",AR,14.9%,16.8%,51567,48785
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",CA,"4,744,697","8,877,568",71325,84598
1,1,"Earned $1-$9,999, or incurred a loss",CA,1.6%,1.5%,71325,84598
2,2,"Earned $10,000-$14,999",CA,3.3%,2.0%,71325,84598
3,3,"Earned $15,000-$24,999",CA,13.2%,8.5%,71325,84598
4,4,"Earned $25,000-$34,999",CA,16.3%,12.6%,71325,84598
5,5,"Earned $35,000-$49,999",CA,18.5%,17.0%,71325,84598
6,6,"Earned $50,000-$74,999",CA,17.7%,21.7%,71325,84598
7,7,"Earned $75,000 or more",CA,29.3%,36.8%,71325,84598
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",CO,"265,606","1,914,924",65008,78969
1,1,"Earned $1-$9,999, or incurred a loss",CO,1.4%,1.4%,65008,78969
2,2,"Earned $10,000-$14,999",CO,2.5%,2.2%,65008,78969
3,3,"Earned $15,000-$24,999",CO,11.5%,7.3%,65008,78969
4,4,"Earned $25,000-$34,999",CO,17.9%,12.2%,65008,78969
5,5,"Earned $35,000-$49,999",CO,21.1%,19.5%,65008,78969
6,6,"Earned $50,000-$74,999",CO,20.8%,24.4%,65008,78969
7,7,"Earned $75,000 or more",CO,24.8%,33.0%,65008,78969
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",CT,"237,104","1,022,531",71056,80376
1,1,"Earned $1-$9,999, or incurred a loss",CT,1.7%,1.5%,71056,80376
2,2,"Earned $10,000-$14,999",CT,1.5%,1.4%,71056,80376
3,3,"Earned $15,000-$24,999",CT,11.3%,5.2%,71056,80376
4,4,"Earned $25,000-$34,999",CT,13.6%,9.7%,71056,80376
5,5,"Earned $35,000-$49,999",CT,19.3%,16.6%,71056,80376
6,6,"Earned $50,000-$74,999",CT,21.7%,25.7%,71056,80376
7,7,"Earned $75,000 or more",CT,30.9%,39.8%,71056,80376
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",DE,"47,525","291,146",70320,70145
1,1,"Earned $1-$9,999, or incurred a loss",DE,1.0%,1.4%,70320,70145
2,2,"Earned $10,000-$14,999",DE,1.7%,2.3%,70320,70145
3,3,"Earned $15,000-$24,999",DE,12.2%,8.7%,70320,70145
4,4,"Earned $25,000-$34,999",DE,16.5%,14.1%,70320,70145
5,5,"Earned $35,000-$49,999",DE,20.1%,20.5%,70320,70145
6,6,"Earned $50,000-$74,999",DE,22.9%,24.1%,70320,70145
7,7,"Earned $75,000 or more",DE,25.6%,28.9%,70320,70145
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",DC,"42,445","262,758",89740,92418
1,1,"Earned $1-$9,999, or incurred a loss",DC,1.3%,1.2%,89740,92418
2,2,"Earned $10,000-$14,999",DC,0.4%,0.7%,89740,92418
3,3,"Earned $15,000-$24,999",DC,7.2%,3.1%,89740,92418
4,4,"Earned $25,000-$34,999",DC,9.3%,5.6%,89740,92418
5,5,"Earned $35,000-$49,999",DC,13.5%,13.1%,89740,92418
6,6,"Earned $50,000-$74,999",DC,19.6%,21.7%,89740,92418
7,7,"Earned $75,000 or more",DC,48.6%,54.7%,89740,92418
0,0,"Full-Time, Year-Round Workers (age 16 and older). Earnings in the Current Year Inflation-Adjusted Dollars (%)",FL,"2,077,324","5,272,073",52773,61144
1,1,"Earned $1-$9,999, or incurred a loss",FL,1.9%,1.7%,52773,61144
2,2,"Earned $10,000-$14,999",FL,4.9%,3.1%,52773,61144
